,index,frame,x1,y1,x2,y2,x_center,y_center
0,0,183,552.836819547085,327.57587646945393,565.6653035774159,344.5781599023583,559.2510615622505,336.0770181859061
1,1,184,556.2485114114363,320.03717144776346,569.0769954417672,337.03945488066785,562.6627534266017,328.53831316421565
2,2,185,559.7425402887568,312.9413801504426,572.5710243190877,329.943663583347,566.1567823039222,321.4425218668948
3,3,186,563.3119731522704,306.2824288689582,576.1404571826013,323.2847123018626,569.7262151674358,314.7835705854104
4,4,187,566.9498769752001,300.0542438947825,579.778361005531,317.05652732768687,573.3641189903656,308.55538561123467
5,5,188,570.649318730779,294.25075151938034,583.4778027611098,311.25303495228474,577.0635607459444,302.75189323583254
6,6,189,574.4033653922236,288.86587803422225,587.2318494225544,305.86816146712664,580.817607407389,297.36701975067444
7,7,190,578.2050839327715,283.89354973077496,591.0335679631023,300.89583316367936,584.6193259479369,292.39469144722716
8,8,191,582.0475413256393,279.32769290050527,594.8760253559701,296.32997633340966,588.4617833408047,287.82883461695747
9,9,192,585.92380454406,275.16223383487994,598.7522885743908,292.16451726778433,592.3380465592254,283.66337555133214
10,10,193,589.8269405612584,271.3910988253712,602.6554245915893,288.3933822582756,596.2411825764239,279.8922405418234
11,11,194,593.7500163504603,268.0082141634477,606.5785003807912,285.0104975963521,600.1642583656258,276.5093558798999
12,12,195,597.6860988848887,265.0075061405725,610.5145829152195,282.0097895734769,604.1003409000541,273.5086478570247
13,13,196,601.6282551377747,262.3829010482106,614.4567391681055,279.385184481115,608.0424971529401,270.8840427646628
14,14,197,605.5695520823449,260.12832517784153,618.3980361126758,277.1306086107459,611.9837940975103,268.6294668942937
15,15,198,609.5030566918188,258.2377048209284,622.3315407221496,275.2399882538328,615.9172987069842,266.7388465373806
16,16,199,613.4218359394338,256.70496626893436,626.2503199697646,273.70724970183875,619.8360779545992,265.20610798538655
17,17,200,617.3189567984075,255.52403581333527,630.1474408287384,272.52631924623967,623.7331988135729,264.02517752978747
18,18,201,621.1874862419666,254.68883974559247,634.0159702722974,271.69112317849687,627.601728257132,263.18998146204467
19,19,202,625.020491243343,254.19330435717637,637.8489752736739,271.19558779008076,631.4347332585085,262.69444607362857
20,20,203,628.8110387757599,254.0313559395574,641.6395228060908,271.0336393724618,635.2252807909254,262.5324976560096
21,21,204,632.5521958124411,254.19692078420047,645.380679842772,271.19920421710486,638.9664378276066,262.69806250065267
22,22,205,636.2370293266151,254.68392518257605,649.065513356946,271.68620861548044,642.6512713417806,263.18506689902824
23,23,206,639.8586062915122,255.4862954261509,652.687090321843,272.4885788590553,646.2728483066776,263.9874371426031
24,24,207,643.4099936803498,256.59795780638996,656.2384777106806,273.60024123929435,649.8242356955152,265.09909952284215
25,25,208,646.8842584663619,258.0128386147673,659.7127424966927,275.0151220476717,653.2985004815273,266.5139803312195
26,26,209,650.2744676227733,259.72486414274607,663.1029516531041,276.72714757565046,656.6887096379387,268.22600585919827
27,27,210,653.5736881228097,261.7279606817967,666.4021721531406,278.73024411470107,659.9879301379751,270.22910239824887
