                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.576,                0.92641,                0.83905,                0.90178,                0.82407,                0.91511,                0.48315,                 1.6195,                0.77205,                0.79952,               0.070278,              0.0033025,              0.0033025
                      1,                 1.6193,                0.88003,                0.83377,                0.84961,                0.77778,                0.88106,                0.52603,                 1.4555,                0.84191,                0.81456,               0.040234,               0.006592,               0.006592
                      2,                 1.5689,                   0.86,                0.83758,                0.87934,                0.80556,                0.88197,                0.53406,                 1.4386,                 0.8458,                 0.8064,               0.010146,              0.0098375,              0.0098375
                      3,                 1.6454,                0.94043,                0.84994,                0.85319,                0.80556,                0.85313,                0.49897,                 1.4974,                 1.0524,                0.81043,               0.009802,               0.009802,               0.009802
                      4,                 1.6937,                0.94406,                0.85968,                0.88283,                0.76739,                 0.8772,                0.48493,                 1.6354,                  1.049,                 0.8104,               0.009802,               0.009802,               0.009802
                      5,                 1.6117,                0.92598,                0.84198,                0.92057,                0.75116,                0.88119,                0.46202,                  1.615,                  0.923,                0.81295,               0.009736,               0.009736,               0.009736
                      6,                 1.6286,                0.85544,                 0.8451,                0.93551,                0.81481,                0.90443,                0.51853,                 1.5217,                0.73258,                0.81699,                0.00967,                0.00967,                0.00967
                      7,                 1.6799,                0.90106,                0.86243,                0.89951,                 0.7037,                0.84393,                 0.4508,                 1.5559,                0.98242,                0.81247,               0.009604,               0.009604,               0.009604
                      8,                 1.7315,                0.91407,                 0.8562,                0.94034,                0.72978,                0.87462,                0.47826,                 1.6845,                0.99959,                0.81779,               0.009538,               0.009538,               0.009538
                      9,                  1.659,                0.88767,                0.84404,                 0.8963,                0.80035,                0.87342,                0.42611,                 1.7798,                0.92262,                0.81973,               0.009472,               0.009472,               0.009472
                     10,                 1.6077,                0.88571,                0.85925,                0.85272,                0.80414,                0.86812,                0.45785,                 1.5771,                0.93489,                0.80998,               0.009406,               0.009406,               0.009406
                     11,                 1.6324,                0.85479,                 0.8475,                0.96613,                0.79244,                0.92266,                0.49879,                 1.6805,                0.85253,                0.81493,                0.00934,                0.00934,                0.00934
                     12,                 1.5675,                0.83005,                0.84226,                0.92386,                0.78646,                0.90368,                0.51628,                 1.5162,                0.79403,                0.80372,               0.009274,               0.009274,               0.009274
                     13,                 1.5919,                0.87014,                0.84371,                0.91829,                0.77778,                0.90501,                0.50821,                 1.5691,                0.97484,                0.81378,               0.009208,               0.009208,               0.009208
                     14,                 1.6171,                0.85157,                0.85239,                0.92863,                0.86111,                0.91513,                0.47176,                 1.7103,                0.80542,                0.81656,               0.009142,               0.009142,               0.009142
                     15,                 1.5647,                0.78053,                0.84636,                0.89354,                0.81481,                0.91278,                0.54368,                 1.4329,                0.77784,                0.80468,               0.009076,               0.009076,               0.009076
                     16,                 1.5189,                0.73351,                0.83912,                0.94187,                0.80556,                0.87171,                0.51922,                 1.4234,                 0.8318,                0.80431,                0.00901,                0.00901,                0.00901
